Name,Surname,Band,Genre,Nationality,Life,Stage name,soloist,period
flea,,red hot chili peppers,punk,australia,1962-now,yes,no,1980-2020
geddy,lee,rush,rock,canada,1953-now,no,no,80s
les,claypool,Primus,rock,USA,1963-now,no,no,80s
john paul,Jones,led zeppelin,hard rock,uk,1946-now,no,no,70s
john ,Deacon,queen,rock,uk,1951-now,no,no,70s-90s
roger,Waters,Pink Floyd,rock,uk,1943-now,no,no,70s-now
tony,Levin,King Crimson,rock,USA,1946-now,no,no,80s
leland,sklar,Phil Collins,rock,USA,1947-now,no,yes,70s-now
john,Myung,Dream Theater,metal,USA,1967-now,no,no,80s-now
john,Entwistle,The Who,rock,uk,1944-2002,no,no,70s-90s
cliff,burton,metallica,metal,USA,1962-1986,no,no,80s
chris,Squire,yes,rock,uk,1948-2015,no,no,70s
faso,,Elio e le Storie Tese,pop-rock,italy,1965-now,yes,no,90s-now
Thundercat,,Suicidal Tendencies,punk,USA,1984-now,yes,yes,now
duff,mcKagan,guns n' roses,punk,USA,1964-now,no,yes,90s-now
kim,deal,pixies,rock,USA,1961-now,no,no,90s-now
peter,hook,joy division,punk,uk,1956-now,no,no,80s-now
esperanza,spalding,she was not part of a band,bosa nova,USA,1984-now,no,yes,2000-now
joseph,makwela,Makgona Tshole Band,mbaqanga,south africa,1940-1998,no,no,60s
mike,watt,Minuteman,funk,USA,1957-now,no,yes,80s-now
george,porter,meters,R&B,USA,1947-now,no,yes,70s-now
bill,black,blue moon boys,rock,USA,1926-1965,no,yes,60s
kim,gordon,sonic youth,rock,USA,1953-now,no,no,80s-now
saturnino,,jovanotti,pop,italy,1969-now,yes,yes,1990-now
pino,palladio,who,R&B,uk,1957-now,no,yes,80s-now
john,mcVie,Fleetwood Mac,rock,uk,1945-now,no,no,60s
luis,johnson,Quincy Jones,pop,USA,1955-2015,no,yes,80s
lemmy,kilmister,Motšrhead,rock,uk,1945-2015,no,yes,60s-90s
bernard,edwards,chic,disco music,,1953-1996,no,yes,70s
david,hood,he was not part of a band,R&B,USA,1943-now,no,yes,60s-70s
bill,wyman,he was not part of a band,pop,uk,1936-now,no,yes,70s
stanlay,clarke,return to forever,rock,USA,1951-now,no,yes,70s-now
paul,mcCartney,Beatles,pop,uk,1942-now,no,no,70s-90s
victoria,de angelis,maneskin,rock,italy,2000-now,no,no,2018-now
